ID	mothernaturenet	greenbiz	wwf	africanconserve	landintegrity	nature_org	nrdc	greenpeace	epa	
20590765	0	1	0	0	0	0	0	0	0	
541143124	0	1	0	0	0	0	0	0	0	
1424369946	0	0	0	0	0	1	0	0	0	
225422634	0	0	0	0	0	0	0	1	0	
2236558514	0	0	1	0	0	0	0	0	0	
2235868440	0	0	0	0	0	0	0	1	0	
506552620	0	1	0	0	0	0	0	0	0	
30779183	0	1	0	0	0	0	0	0	0	
2231197346	0	0	0	0	0	0	0	1	0	
349836013	0	0	0	0	0	1	0	0	0	
1697375809	0	0	0	0	0	1	0	0	0	
1149101730	0	0	0	0	0	0	0	1	0	
289379048	0	0	0	0	0	0	0	0	1	
599526280	0	0	0	0	0	0	0	0	1	
2193164107	0	0	0	0	0	0	0	0	1	
2227316660	0	0	0	0	0	1	0	0	0	
175888182	1	0	0	0	0	0	0	0	0	
878619170	1	0	0	0	0	1	1	1	0	
33495470	0	0	0	1	0	0	0	0	0	
146109338	0	0	0	1	0	0	0	0	0	
702138720	0	0	0	1	0	0	0	0	0	
363909325	0	0	0	0	0	0	0	1	0	
1078079904	0	1	0	0	0	0	0	0	0	
328144783	0	0	0	0	0	0	0	1	0	
625727140	0	0	1	0	0	0	0	0	0	
2176887860	0	0	0	0	0	0	1	0	0	
57015942	0	0	0	0	0	0	0	1	0	
2230095380	0	0	0	0	0	0	0	0	1	
2154935755	0	1	0	0	0	0	0	0	0	
309643383	0	0	0	0	0	0	0	1	0	
521337257	0	0	0	0	0	0	1	0	0	
111515094	0	0	0	0	0	0	0	1	0	
1113026298	0	0	0	0	0	1	0	0	0	
30837825	1	0	0	0	0	0	0	0	0	
2213072724	0	0	0	0	0	0	0	0	1	
1621966196	0	0	0	1	0	0	0	0	0	
781028784	0	1	0	0	0	0	0	0	0	
327554650	0	1	0	0	0	0	0	0	0	
417984427	0	0	0	1	0	0	0	0	0	
43069088	0	0	0	0	0	0	0	1	0	
2231561270	0	0	1	0	0	0	0	0	0	
1727945017	0	0	0	0	0	1	0	1	0	
2230533806	0	0	0	0	0	0	0	0	1	
610679692	0	0	0	0	0	0	0	1	0	
2167195756	0	0	0	0	0	0	0	0	1	
390576205	0	0	0	0	0	0	1	0	0	
1960348058	0	0	0	0	0	0	0	1	0	
208181667	0	0	0	0	0	0	0	1	0	
376334571	0	1	0	0	0	0	0	0	0	
1457737926	0	0	0	1	0	0	0	0	0	
2182108995	1	0	0	0	0	0	0	0	0	
2181267751	0	0	0	0	0	0	0	0	1	
424234149	0	0	0	1	0	0	0	0	0	
542318183	0	0	0	1	0	0	0	0	0	
300148783	0	0	0	0	0	0	1	0	0	
769793568	0	0	0	0	0	1	0	1	0	
1161302389	0	0	0	0	0	1	0	0	0	
100936799	0	0	0	0	0	0	0	1	0	
2192393364	0	0	0	0	1	0	0	0	0	
34247102	0	0	0	0	0	0	0	1	0	
1282494541	0	0	0	1	0	0	0	0	0	
1667657144	0	0	0	0	0	1	0	0	0	
59783484	1	0	0	0	0	0	0	0	0	
878964049	1	0	0	0	0	0	0	0	0	
28467683	0	0	0	0	0	0	0	0	1	
267261664	0	0	0	0	0	1	1	0	0	
588895382	0	0	0	1	0	0	0	0	0	
2165445666	0	0	0	0	0	0	1	0	0	
2225510269	0	0	0	0	0	1	0	0	0	
20994378	0	0	0	0	0	0	1	0	0	
246835660	1	0	0	0	0	0	0	0	0	
2235851406	0	0	0	0	0	0	0	1	0	
199019085	1	0	0	0	0	0	0	0	0	
195116718	0	1	0	0	0	0	0	0	0	
1585742838	1	0	0	0	0	0	0	0	0	
